Molecule,SMILES,Formula,TanimotoA,TanimotoS,MW,HeavyAtoms,AromaticHA,FractionCsp3,RotatableBonds,HBA,HBD,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,SilicosITLogP,ConsensusLogP,ESOLLogS,ESOLSolubilitymgml,ESOLSolubilitymoll,AliLogS,AliSolubilitymgml,AliSolubilitymoll,SilicosITLogSw,SilicosITSolubilitymgml,SilicosITSolubilitymoll,logKpcms,LipinskiViolations,GhoseViolations,VeberViolations,EganViolations,MueggeViolations,BioavailabilityScore,PAINSalerts,BrenkAlerts,LeadlikenessViolations,SyntheticAccessibility,TanimotoA3D,TanimotoS3D,
1336,CCOC(=O)C(=O)Nc1cccc(c1C(=O)OC)Cl,C12H12ClNO5,0.319070905,0.309779536,285.68,19,6,0.25,7,5,1,67.94,81.7,2.68,2.78,1.44,1.61,1.86,2.07,-3.13,2.10E-01,7.34E-04,-4.15,2.01E-02,7.05E-05,-3.57,7.74E-02,2.71E-04,-6.07,0,0,0,0,0,0.55,0,2,0,2.22,0.787381297,0.691538671,
1337,CCOC(=O)CN1C(=O)CSC1=O,C7H9NO4S,0.18950064,0.192785334,203.22,13,0,0.57,4,4,0,50.12,88.98,1.73,0.54,-0.14,-0.72,0.57,0.4,-1.18,1.35E+01,6.67E-02,-1.98,2.13E+00,1.05E-02,-0.83,3.03E+01,1.49E-01,-7.16,0,0,0,0,0,0.55,0,1,1,2.63,0.835932839,0.803115495,
1338,O=Cc1sc(=O)n(c1Cl)Cc1ccccc1,C11H8ClNO2S,0.283454988,0.29954181,253.7,16,11,0.09,3,2,0,64.73,67.31,1.87,2.45,2.42,1.57,3.86,2.43,-3.27,1.37E-01,5.40E-04,-3.51,7.89E-02,3.11E-04,-3.87,3.45E-02,1.36E-04,-6.11,0,0,0,0,0,0.55,0,1,0,2.49,0.835353046,0.788837947,
1339,C#CCOc1ccc(cc1)S(=O)(=O)[O-].[Na+],C9H7NaO4S,0.130065359,0.127837515,234.2,15,6,0.11,3,4,0,48.72,74.81,-9.62,0.75,1.76,1.43,0.7,-0.99,-1.86,3.21E+00,1.37E-02,-1.9,2.95E+00,1.26E-02,-1.98,2.44E+00,1.04E-02,-7.2,0,0,0,0,0,0.55,0,2,1,2.29,0.896047772,0.845994117,
1340,O=Cc1ccc(cc1)Oc1ccc(cc1)C=O,C14H10O3,0.086724483,0.084293511,226.23,17,12,0,4,3,0,63.73,43.37,2.02,1.65,3.1,1.91,3.38,2.41,-2.54,6.52E-01,2.88E-03,-2.17,1.51E+00,6.70E-03,-4.56,6.25E-03,2.76E-05,-6.51,0,0,0,0,0,0.55,0,1,1,1.42,0.823140361,0.776004992,
1341,COc1ccc(c(c1)[N+](=O)[O-])C=O,C8H7NO4,0.200890019,0.21183432,181.15,13,6,0.12,3,4,0,47.14,72.12,1.09,1.45,1.42,0.03,-0.17,0.76,-2.02,1.73E+00,9.55E-03,-2.57,4.87E-01,2.69E-03,-1.85,2.54E+00,1.40E-02,-6.38,0,0,0,0,1,0.55,0,3,1,1.88,0.832639612,0.762747944,
1342,Cc1ccc(cc1)S(=O)(=O)F,C7H7FO2S,0.096497026,0.093862816,174.19,11,6,0.14,1,3,0,39.75,42.52,1.67,2.74,3.15,1.68,1.54,2.16,-2.98,1.81E-01,1.04E-03,-3.29,8.99E-02,5.16E-04,-2.98,1.80E-01,1.04E-03,-5.42,0,2,0,0,1,0.55,0,0,1,1.6,0.846861851,0.767839494,
1343,CNC(C(=O)OC)CO.Cl,C5H12ClNO3,0.056856187,0.058429702,169.61,10,0,0.8,4,4,2,38.36,58.56,0,-0.13,-0.46,-0.46,-0.64,-0.34,-0.55,4.83E+01,2.85E-01,-0.65,3.83E+01,2.26E-01,-0.24,9.76E+01,5.75E-01,-7.43,0,2,0,0,1,0.55,0,0,1,1.9,0.848747853,0.817968291,
1344,COC(=O)C(c1cccc(c1)[N+](=O)[O-])N.Cl,C9H11ClN2O4,0.21656051,0.202906977,246.65,16,6,0.22,4,5,1,60.8,98.14,0,1.53,1.25,0.38,-1.09,0.41,-2.35,1.11E+00,4.50E-03,-3.2,1.56E-01,6.31E-04,-1.55,6.94E+00,2.81E-02,-6.72,0,0,0,0,0,0.55,0,2,1,2.49,0.850352401,0.758675226,
1345,COC(=O)C(c1cccc(c1)N)N.Cl,C9H13ClN2O2,0.164392463,0.152392203,216.66,14,6,0.22,3,3,2,56.38,78.34,0,1.02,0.93,0.82,0.3,0.61,-1.95,2.46E+00,1.13E-02,-2.25,1.21E+00,5.56E-03,-1.8,3.41E+00,1.57E-02,-6.9,0,0,0,0,0,0.55,0,1,1,2.03,0.842194811,0.818015379,
1346,CCOC(=O)CCCn1ccnc1N,C9H15N3O2,0.144805195,0.145411204,197.23,14,5,0.56,6,3,1,53.21,70.14,1.25,0.15,0.82,0.15,0.35,0.54,-1.03,1.86E+01,9.43E-02,-1.18,1.30E+01,6.61E-02,-1.75,3.50E+00,1.77E-02,-7.4,0,0,0,0,1,0.55,0,0,1,1.81,0.869185572,0.777901475,
1347,N#CC1(OC1c1ccc(cc1)[N+](=O)[O-])C#N,C10H5N3O3,0.228733459,0.229737609,215.16,16,6,0.2,2,5,0,53.16,105.93,1.11,0.81,1.13,-0.09,-0.12,0.57,-1.83,3.18E+00,1.48E-02,-2.62,5.21E-01,2.42E-03,-2.01,2.12E+00,9.84E-03,-7.04,0,0,0,0,0,0.55,0,3,1,2.24,0.863896271,0.735817104,
1348,O=Cc1ccccc1N(C)C,C9H11NO,0.123917388,0.102089552,149.19,11,6,0.22,2,1,0,46.04,20.31,1.78,1.51,1.57,1.44,1.55,1.57,-1.99,1.53E+00,1.03E-02,-1.54,4.26E+00,2.85E-02,-2.44,5.45E-01,3.66E-03,-6.14,0,1,0,0,1,0.55,0,1,1,1,0.837470188,0.801077856,
1349,OC(=O)C(c1ccc(cc1)[N+](=O)[O-])Cl,C8H6ClNO4,0.168078176,0.165373134,215.59,14,6,0.12,3,4,1,51.6,83.12,0.99,1.94,1.63,0.89,-0.23,1.04,-2.52,6.54E-01,3.03E-03,-3.31,1.06E-01,4.90E-04,-1.82,3.23E+00,1.50E-02,-6.24,0,0,0,0,0,0.56,0,3,1,2.17,0.808517976,0.793185784,
1350,COC(=O)C(c1ccc(cc1)[N+](=O)[O-])Cl,C9H8ClNO4,0.18305304,0.179122183,229.62,15,6,0.22,4,4,0,55.92,72.12,1.74,2.26,1.72,1.19,0.26,1.44,-2.72,4.38E-01,1.91E-03,-3.41,8.91E-02,3.88E-04,-2.53,6.84E-01,2.98E-03,-6.1,0,0,0,0,0,0.55,0,3,1,2.36,0.83356759,0.809958359,
1351,COC(=O)Cc1ccc(c(c1)C)N.Cl,C10H14ClNO2,0.130491803,0.122169249,215.68,14,6,0.3,3,2,1,58.64,52.32,0,1.91,2.1,1.96,1.8,1.56,-2.5,6.83E-01,3.16E-03,-2.63,5.03E-01,2.33E-03,-2.9,2.68E-01,1.24E-03,-6.26,0,0,0,0,0,0.55,0,1,1,1.54,0.8126294,0.756278539,
1352,CC(=O)OCCl,C3H5ClO2,0.018983051,0.017758726,108.52,6,0,0.67,2,2,0,22.62,26.3,1.51,0.8,0.75,0.49,0.64,0.84,-0.88,1.41E+01,1.30E-01,-0.93,1.26E+01,1.17E-01,-0.91,1.33E+01,1.22E-01,-6.39,0,3,0,0,2,0.55,0,1,1,1.5,0.89073547,0.862739234,
1353,NC(=O)C(c1ccc(cc1)[N+](=O)[O-])Cl,C8H7ClN2O3,0.169811321,0.171856287,214.61,14,6,0.12,3,3,1,52.74,88.91,0.76,1.29,1.04,0.48,-0.47,0.62,-2.1,1.70E+00,7.90E-03,-2.76,3.76E-01,1.75E-03,-2.04,1.96E+00,9.14E-03,-6.69,0,0,0,0,0,0.55,0,3,1,2.12,0.839395212,0.797073617,
1354,COC(=O)Cn1cc(N)ccc1=O.Cl,C8H11ClN2O3,0.177030457,0.188902007,218.64,14,6,0.25,3,3,1,54.23,74.32,0,0.15,0.41,0.02,-0.08,0.1,-1.41,8.52E+00,3.90E-02,-1.27,1.18E+01,5.40E-02,-1.23,1.29E+01,5.90E-02,-7.53,0,0,0,0,0,0.55,0,0,1,2.23,0.802202643,0.759163308,
1355,COC(=O)Cn1cc(ccc1=O)NC(=O)OC(C)(C)C,C13H18N2O5,0.260896255,0.275504323,282.29,20,6,0.46,7,5,1,73.11,86.63,2.78,0.59,1.18,0.69,0.67,1.18,-1.72,5.36E+00,1.90E-02,-1.98,2.94E+00,1.04E-02,-2.54,8.22E-01,2.91E-03,-7.6,0,0,0,0,0,0.55,0,1,0,2.98,0.809356725,0.772359778,
1356,O=Cc1ccc(cc1)c1ccccn1.Cl,C12H10ClNO,0.14481409,0.162818955,219.67,15,12,0,2,2,0,62.03,29.96,0,2.89,3.36,1.68,3.17,2.22,-3.48,7.23E-02,3.29E-04,-3.18,1.45E-01,6.62E-04,-4.49,7.11E-03,3.24E-05,-5.59,0,0,0,0,0,0.55,0,1,1,1.66,0.825318186,0.742298806,
1357,N#Cc1cccc(c1F)[N+](=O)[O-],C7H3FN2O2,0.187419769,0.193701723,166.11,12,6,0,1,4,0,39.94,69.61,1.13,1.57,2.03,1.51,0.08,1.26,-2.16,1.14E+00,6.87E-03,-2.64,3.79E-01,2.28E-03,-2.14,1.21E+00,7.31E-03,-6.2,0,2,0,0,1,0.55,0,2,1,1.87,0.818868603,0.765493307,
1358,CCOC(=O)Cn1nnc2c1c1ccccc1CC2,C14H15N3O2,0.426537585,0.452562704,257.29,19,11,0.36,4,4,0,70.24,57.01,2.47,2.07,1.61,1.86,2.19,2.04,-2.9,3.21E-01,1.25E-03,-2.9,3.27E-01,1.27E-03,-4,2.60E-02,1.01E-04,-6.4,0,0,0,0,0,0.55,0,0,0,3.15,0.807192166,0.785457656,
1359,Cn1c(CSc2ncccn2)nnc1S,C8H9N5S2,0.198458574,0.197516263,239.32,15,11,0.25,3,4,0,60.33,120.59,1.71,0.57,1.03,-0.07,1.13,0.87,-2.03,2.25E+00,9.39E-03,-2.68,5.06E-01,2.11E-03,-2.83,3.54E-01,1.48E-03,-7.36,0,0,0,0,0,0.55,0,1,1,2.51,0.838701766,0.726492502,
1360,Cn1cccc1Cc1nnc(n1C)S,C9H12N4S,0.254385965,0.248411323,208.28,14,10,0.33,2,2,0,57.24,74.44,1.94,0.64,1.03,0.85,1.02,1.1,-1.93,2.44E+00,1.17E-02,-1.78,3.47E+00,1.67E-02,-2.24,1.21E+00,5.81E-03,-7.12,0,0,0,0,0,0.55,0,1,1,2.2,0.86492018,0.778877277,
1361,Cn1c(S)nnc1Cn1c(=O)sc2c1cccc2,C11H10N4OS2,0.381231672,0.385123967,278.35,18,14,0.18,2,3,0,73.93,119.75,1.98,1.38,1.53,1.28,2.27,1.69,-2.88,3.68E-01,1.32E-03,-3.5,8.84E-02,3.18E-04,-3.11,2.16E-01,7.76E-04,-7.02,0,0,0,0,0,0.55,0,1,0,2.72,0.849447299,0.769297939,
1362,Cn1c(S)nnc1c1c[nH]c2c1cccc2,C11H10N4S,0.316884661,0.345042493,230.29,16,14,0.09,1,2,1,65.83,85.3,1.36,1.7,2.25,1.38,2.27,1.79,-2.92,2.77E-01,1.20E-03,-3.11,1.80E-01,7.82E-04,-3.95,2.61E-02,1.13E-04,-6.5,0,0,0,0,0,0.55,0,1,1,2.01,0.807129645,0.764226898,
1363,CCn1c(S)nnc1c1c[nH]c2c1cccc2,C12H12N4S,0.338218054,0.375,244.32,17,14,0.17,2,2,1,70.64,85.3,1.81,2,2.74,1.66,2.6,2.16,-3.09,1.98E-01,8.09E-04,-3.42,9.33E-02,3.82E-04,-4.35,1.09E-02,4.48E-05,-6.37,0,0,0,0,0,0.55,0,1,1,2.08,0.859202647,0.752736814,
1364,COCCn1c(S)nnc1c1c[nH]c2c1cccc2,C13H14N4OS,0.358974359,0.397083567,274.34,19,14,0.23,4,3,1,76.53,94.53,2.07,1.49,2.36,1.1,2.47,1.9,-2.76,4.76E-01,1.73E-03,-3.08,2.27E-01,8.27E-04,-4.49,8.92E-03,3.25E-05,-6.92,0,0,0,0,0,0.55,0,1,0,2.37,0.780390236,0.70935916,
1365,CC(=S)Nc1cccc(c1)[N+](=O)[O-],C8H8N2O2S,0.144073346,0.142001198,196.23,13,6,0.12,3,2,1,57.17,89.94,1.43,2.07,2.16,0.86,0.68,1.44,-2.5,6.14E-01,3.13E-03,-3.59,5.07E-02,2.58E-04,-2.37,8.31E-01,4.24E-03,-6.03,0,0,0,0,1,0.55,0,3,1,2.28,0.805538569,0.784026997,
1366,Fc1cccc(c1)c1nnc2n1nc(S)cc2,C11H7FN4S,0.320697954,0.347452776,246.26,17,15,0,1,4,0,63.43,81.88,2.26,1.99,2.64,3.23,2.07,2.44,-3.21,1.53E-01,6.20E-04,-3.34,1.14E-01,4.62E-04,-4.25,1.37E-02,5.57E-05,-6.39,0,0,0,0,0,0.55,0,1,1,2.17,0.843515455,0.734622144,
1367,OB(c1ccc(cc1)C1NC(=O)NC1=O)O,C9H9BN2O4,0.24512885,0.24057971,219.99,16,6,0.11,2,4,4,62.96,98.66,0,-0.45,-2.84,-1.06,-1.69,-1.21,-1.07,1.89E+01,8.59E-02,-1.16,1.54E+01,6.98E-02,-1.78,3.68E+00,1.67E-02,-7.96,0,1,0,0,0,0.55,0,2,1,2.2,0.828801194,0.794294429,
1368,O=Cc1ccc2c(n1)nccc2,C9H6N2O,0.169480519,0.173652695,158.16,12,10,0,1,3,0,44.93,42.85,0.71,1.25,1.44,0.63,2.09,1.22,-2.16,1.10E+00,6.94E-03,-1.75,2.82E+00,1.79E-02,-3.26,8.61E-02,5.45E-04,-6.38,0,2,0,0,1,0.55,0,1,1,1.21,0.844022169,0.764787476,
1369,O=Cc1ccc(cc1)N1CCN(CC1)C(=O)C,C13H16N2O2,0.201477502,0.176328502,232.28,17,6,0.38,3,2,0,73.1,40.62,1.89,0.78,0.41,0.78,1.55,1.08,-1.83,3.40E+00,1.46E-02,-1.21,1.42E+01,6.11E-02,-2.47,7.85E-01,3.38E-03,-7.16,0,0,0,0,0,0.55,0,1,1,1.49,0.821176471,0.764417506,
1370,O=Cc1ccc(cc1)N1CCN(CC1)C(C)C,C14H20N2O,0.179865772,0.156212304,232.32,17,6,0.5,3,2,0,77.7,23.55,2.49,2.12,1.27,1.58,2.21,1.93,-2.68,4.86E-01,2.09E-03,-2.25,1.32E+00,5.68E-03,-2.96,2.56E-01,1.10E-03,-6.21,0,0,0,0,0,0.55,0,1,1,1.58,0.816740801,0.738435128,
1371,O=Cc1ccc(s1)N1CCOCC1,C9H11NO2S,0.188461538,0.185512367,197.25,13,5,0.44,2,2,0,55.43,57.78,1.95,1.48,1.02,0.21,2.79,1.49,-2.15,1.40E+00,7.11E-03,-2.3,9.88E-01,5.01E-03,-1.8,3.09E+00,1.57E-02,-6.45,0,0,0,0,1,0.55,0,1,1,2.41,0.845619975,0.784661598,
1372,O=Cc1cnc2c(n1)cccc2,C9H6N2O,0.147540984,0.145170966,158.16,12,10,0,1,3,0,44.93,42.85,1.03,1.06,1.44,0.23,2.09,1.17,-2.04,1.45E+00,9.14E-03,-1.55,4.45E+00,2.81E-02,-3.26,8.61E-02,5.45E-04,-6.51,0,2,0,0,1,0.55,0,1,1,1.38,0.819486811,0.826700536,
1373,CCOc1ccc2c(c1)cc(c(=O)[nH]2)C=O,C12H11NO3,0.255025126,0.25261324,217.22,16,10,0.17,3,3,1,61.26,59.16,1.92,1.34,1.74,0.98,3.07,1.81,-2.3,1.10E+00,5.06E-03,-2.18,1.42E+00,6.55E-03,-4.1,1.74E-02,8.02E-05,-6.67,0,0,0,0,0,0.55,0,1,1,1.6,0.826667773,0.791569507,
1374,O=Cc1cc2cc3OCOc3cc2[nH]c1=O,C11H7NO4,0.297230769,0.302873563,217.18,16,10,0.09,1,4,1,56.02,68.39,1.68,0.82,1.07,0.55,2.65,1.35,-2.1,1.73E+00,7.95E-03,-1.84,3.15E+00,1.45E-02,-3.32,1.05E-01,4.82E-04,-7.04,0,0,0,0,0,0.55,0,1,1,1.95,0.806363091,0.751321253,
1375,CCC(N1C(=S)S/C(=C/c2ccco2)/C1=O)C(=O)O,C12H11NO4S2,0.423728814,0.425041186,297.35,19,5,0.25,4,4,1,79.69,128.14,2.1,2.6,1.85,0.1,2.81,1.89,-3.25,1.66E-01,5.59E-04,-4.94,3.41E-03,1.15E-05,-2.1,2.34E+00,7.87E-03,-6.27,0,0,0,0,0,0.56,1,2,0,3.74,0.79364826,0.687743808,
1376,O=Cc1ccnc2c1cccn2,C9H6N2O,0.167315175,0.173756741,158.16,12,10,0,1,3,0,44.93,42.85,1.02,0.92,1.44,0.63,2.09,1.22,-1.95,1.77E+00,1.12E-02,-1.41,6.21E+00,3.93E-02,-3.26,8.61E-02,5.45E-04,-6.61,0,2,0,0,1,0.55,0,1,1,1.19,0.831098481,0.792195216,
1377,O=Cc1ccnc2c1nccn2,C8H5N3O,0.202189311,0.198107629,159.14,12,10,0,1,4,0,42.72,55.74,0.95,-0.07,0.84,-0.54,1.58,0.55,-1.33,7.39E+00,4.64E-02,-0.65,3.57E+01,2.24E-01,-2.89,2.04E-01,1.28E-03,-7.32,0,2,0,0,1,0.55,0,1,1,1.48,0.816844196,0.773207063,
1378,O=Cc1c(Br)cnc2c1nccn2,C8H4BrN3O,0.266708701,0.258270459,238.04,13,10,0,1,4,0,50.42,55.74,0.87,0.62,1.6,0.2,2.24,1.11,-2.21,1.47E+00,6.17E-03,-1.37,1.03E+01,4.31E-02,-3.76,4.11E-02,1.73E-04,-7.31,0,1,0,0,0,0.55,0,1,1,1.77,0.853794737,0.782275608,
1379,N#Cc1cc(Br)c2c(n1)CCCN2,C9H8BrN3,0.300122249,0.316820276,238.08,13,6,0.33,0,2,1,56.55,48.71,1.98,2.01,1.5,0.88,2.51,1.78,-2.92,2.84E-01,1.19E-03,-2.66,5.21E-01,2.19E-03,-3.85,3.35E-02,1.41E-04,-6.33,0,0,0,0,0,0.55,0,0,1,2.4,0.851476015,0.743130805,
1380,COc1ccc2c(n1)nc(cc2C=O)OC,C11H10N2O3,0.263619286,0.275336848,218.21,16,10,0.18,3,5,0,57.91,61.31,2.13,1.53,1.46,0.89,2.06,1.61,-2.42,8.27E-01,3.79E-03,-2.43,8.17E-01,3.75E-03,-3.54,6.29E-02,2.88E-04,-6.54,0,0,0,0,0,0.55,0,1,1,1.88,0.782736044,0.78561086,
1381,O=Cc1cnc(c(c1)C)O,C7H7NO2,0.12994723,0.119617225,137.14,10,6,0.14,1,3,1,36.61,50.19,1.18,0.66,0.91,-0.08,1.46,0.83,-1.48,4.50E+00,3.28E-02,-1.29,7.03E+00,5.13E-02,-1.76,2.41E+00,1.75E-02,-6.67,0,3,0,0,1,0.55,0,1,1,1.42,0.846264886,0.801683168,
1382,N#Cc1cnc(c(c1C)Br)Cl,C7H4BrClN2,0.208812261,0.204225352,231.48,11,6,0.14,0,2,0,46.63,36.68,1.88,2.59,2.68,1.47,3.08,2.34,-3.31,1.13E-01,4.89E-04,-3.01,2.27E-01,9.79E-04,-3.97,2.46E-02,1.06E-04,-5.87,0,1,0,0,0,0.55,0,1,1,2.03,0.860957564,0.789648939,
1383,N#Cc1cnc(c(c1C)Br)N(C)C,C9H10BrN3,0.269861286,0.271503803,240.1,13,6,0.33,1,2,0,55.82,39.92,2.19,2.08,2.09,1.29,2.02,1.93,-2.91,2.92E-01,1.22E-03,-2.55,6.80E-01,2.83E-03,-3.47,8.17E-02,3.40E-04,-6.29,0,0,0,0,0,0.55,0,0,1,2.23,0.855864811,0.793553127,
1384,COc1ncc(c(c1Br)C)C#N,C8H7BrN2O,0.237256136,0.238344988,227.06,12,6,0.25,1,3,0,48.11,45.91,2.17,1.93,2.03,0.99,2.43,1.91,-2.77,3.88E-01,1.71E-03,-2.52,6.89E-01,3.03E-03,-3.49,7.42E-02,3.27E-04,-6.31,0,1,0,0,0,0.55,0,0,1,2.1,0.879230259,0.777195157,
1385,N#Cc1c(Cl)nc(c(c1C)I)C,C8H6ClIN2,0.255121043,0.267286461,292.5,12,6,0.25,0,2,0,56.61,36.68,2.19,2.95,2.83,1.91,3.82,2.74,-3.88,3.84E-02,1.31E-04,-3.38,1.21E-01,4.14E-04,-4.44,1.05E-02,3.60E-05,-5.99,0,1,0,0,0,0.55,0,2,0,2.29,0.862437341,0.839717564,
1386,N#Cc1c(O)nc(c(c1C)I)C,C8H7IN2O,0.270676692,0.279695728,274.06,12,6,0.25,0,3,1,53.62,56.91,1.84,2.52,1.88,1.14,2.7,2.02,-3.5,8.73E-02,3.19E-04,-3.36,1.19E-01,4.35E-04,-3.26,1.51E-01,5.50E-04,-6.18,0,1,0,0,0,0.55,0,1,0,2.2,0.790675042,0.830795567,
1387,N#Cc1c(I)nc(c(c1C)Cl)C,C8H6ClIN2,0.25,0.273414776,292.5,12,6,0.25,0,2,0,56.61,36.68,2.23,2.65,2.83,1.91,3.82,2.69,-3.69,5.93E-02,2.03E-04,-3.07,2.48E-01,8.48E-04,-4.44,1.05E-02,3.60E-05,-6.2,0,1,0,0,0,0.55,0,2,0,2.38,0.796940195,0.797259022,
1388,O=Cc1c(C)nn(c1C)C1CCS(=O)(=O)C1,C10H14N2O3S,0.345605701,0.350222717,242.29,16,5,0.6,2,4,0,60.08,77.41,1.1,-0.03,1.75,0.02,1.13,0.79,-1.42,9.16E+00,3.78E-02,-1.15,1.73E+01,7.15E-02,-1.94,2.76E+00,1.14E-02,-7.8,0,0,0,0,0,0.55,0,1,1,3.1,0.851923077,0.737143385,
1389,Sc1cccnn1,C4H4N2S,0.043800539,0.043372022,112.15,7,6,0,0,2,0,29.28,64.58,1.31,-0.38,0.77,0.16,1.38,0.65,-0.93,1.32E+01,1.17E-01,-0.51,3.44E+01,3.07E-01,-1.7,2.22E+00,1.98E-02,-7.25,0,3,0,0,2,0.55,0,1,1,1,0.86651794,0.844301766,
1390,Sc1ncnc(c1)c1ccccc1,C10H8N2S,0.162972621,0.174018127,188.25,13,12,0,1,2,0,54.72,64.58,2.15,2.35,2.43,1.59,2.77,2.26,-3.1,1.48E-01,7.86E-04,-3.35,8.49E-02,4.51E-04,-4.28,9.86E-03,5.24E-05,-5.78,0,0,0,0,1,0.55,0,1,1,1.56,0.817462388,0.784693494,
1391,CCOC(=O)c1ccc(nn1)S,C7H8N2O2S,0.164112388,0.169321534,184.22,12,6,0.29,3,4,0,45.37,90.88,1.96,-0.36,0.94,0.56,1.32,0.88,-0.93,2.18E+01,1.18E-01,-1.09,1.51E+01,8.20E-02,-2.25,1.05E+00,5.69E-03,-7.68,0,0,0,0,1,0.55,0,1,1,1.76,0.84314909,0.78724013,
1392,CC(=O)Nc1ccc(nn1)S,C6H7N3OS,0.148391333,0.14939759,169.2,11,6,0.17,2,3,1,43.6,93.68,0.93,-0.16,0.53,0.2,0.7,0.44,-1.06,1.47E+01,8.71E-02,-1.35,7.52E+00,4.44E-02,-2.14,1.21E+00,7.18E-03,-7.45,0,1,0,0,1,0.55,0,1,1,1.69,0.821515016,0.810668957,
1393,Sc1ccc(nn1)NC(=O)c1ccccc1F,C11H8FN3OS,0.251572327,0.254524227,249.26,17,12,0,3,4,1,63.46,93.68,1.81,1.6,2.39,2.23,2.21,2.05,-2.72,4.77E-01,1.92E-03,-3.18,1.65E-01,6.63E-04,-4.57,6.79E-03,2.72E-05,-6.68,0,0,0,0,0,0.55,0,1,1,1.92,0.835909823,0.754987813,
1394,Fc1cccc(c1)C(=O)Nc1ccc(nn1)S,C11H8FN3OS,0.242866202,0.243544601,249.26,17,12,0,3,4,1,63.46,93.68,1.62,1.6,2.39,2.23,2.21,2.01,-2.72,4.77E-01,1.92E-03,-3.18,1.65E-01,6.63E-04,-4.57,6.79E-03,2.72E-05,-6.68,0,0,0,0,0,0.55,0,1,1,1.79,0.833736689,0.731381755,
1395,Fc1ccc(cc1)C(=O)Nc1ccc(nn1)S,C11H8FN3OS,0.226031746,0.228689006,249.26,17,12,0,3,4,1,63.46,93.68,1.57,1.6,2.39,2.23,2.21,2,-2.72,4.77E-01,1.92E-03,-3.18,1.65E-01,6.63E-04,-4.57,6.79E-03,2.72E-05,-6.68,0,0,0,0,0,0.55,0,1,1,1.79,0.808354618,0.754479638,
1396,Cc1ccc(cc1)C(=O)Nc1ccc(nn1)S,C12H11N3OS,0.219808307,0.215755438,245.3,17,12,0.08,3,3,1,68.46,93.68,1.74,1.86,2.14,2.1,2.27,2.02,-2.86,3.41E-01,1.39E-03,-3.45,8.73E-02,3.56E-04,-4.67,5.20E-03,2.12E-05,-6.48,0,0,0,0,0,0.55,0,1,1,1.83,0.815136981,0.766101093,
1397,Sc1ccc(nn1)NC(=O)c1ccco1,C9H7N3O2S,0.246231156,0.245930233,221.24,15,11,0,3,4,1,55.76,106.82,0.92,0.9,1.42,0.03,1.24,0.9,-2.12,1.67E+00,7.53E-03,-2.73,4.14E-01,1.87E-03,-3.5,6.96E-02,3.15E-04,-7.01,0,0,0,0,0,0.55,0,1,1,2.12,0.845373577,0.761696179,
1398,Sc1ccc(nn1)NC(=O)c1cccs1,C9H7N3OS2,0.251730648,0.248837209,237.3,15,11,0,3,3,1,61.38,121.92,1.46,1.51,1.89,0.86,2.48,1.64,-2.61,5.86E-01,2.47E-03,-3.68,4.98E-02,2.10E-04,-3.56,6.58E-02,2.77E-04,-6.68,0,0,0,0,0,0.55,0,1,1,2.05,0.845513866,0.756090808,
1399,O=C(C1CC1)Nc1ccc(nn1)S,C8H9N3OS,0.191062176,0.189994044,195.24,13,6,0.38,3,3,1,51.1,93.68,1.22,0.3,0.86,0.48,1.2,0.81,-1.38,8.08E+00,4.14E-02,-1.83,2.89E+00,1.48E-02,-2.37,8.39E-01,4.30E-03,-7.28,0,0,0,0,1,0.55,0,1,1,1.78,0.853718035,0.798682624,
1400,CCC(=O)Nc1ccc(nn1)S,C7H9N3OS,0.164921466,0.164564565,183.23,12,6,0.29,3,3,1,48.4,93.68,1.16,0.31,0.92,0.56,1,0.79,-1.34,8.31E+00,4.54E-02,-1.84,2.65E+00,1.44E-02,-2.56,5.11E-01,2.79E-03,-7.2,0,0,0,0,1,0.55,0,1,1,1.74,0.884580254,0.784049666,
1401,CCOC(=O)Cn1ncccc1=O,C8H10N2O3,0.16952381,0.17844523,182.18,13,6,0.38,4,4,0,45.46,61.19,1.93,-0.24,-0.19,0.25,0.46,0.44,-0.9,2.32E+01,1.27E-01,-0.59,4.71E+01,2.59E-01,-1.62,4.37E+00,2.40E-02,-7.58,0,0,0,0,1,0.55,0,0,1,2.28,0.83543212,0.795701952,
1402,Sc1nnc(o1)Cn1nc(ccc1=O)c1ccccc1,C13H10N4O2S,0.328208161,0.357223476,286.31,20,17,0.08,3,5,0,74.79,112.61,2.46,1.28,1.63,1.63,2.02,1.8,-2.85,4.02E-01,1.40E-03,-3.24,1.63E-01,5.70E-04,-4.75,5.11E-03,1.79E-05,-7.14,0,0,0,0,0,0.55,0,1,0,2.82,0.768261759,0.779010673,
1403,CCOC(=O)c1cnc(n(c1=O)C)S,C8H10N2O3S,0.257865515,0.266129032,214.24,14,6,0.38,3,4,0,53.1,99.99,2.08,0.47,0.25,0.38,0.91,0.82,-1.58,5.59E+00,2.61E-02,-2.14,1.56E+00,7.27E-03,-1.72,4.07E+00,1.90E-02,-7.27,0,0,0,0,0,0.55,0,1,1,2,0.832560883,0.737869653,
