Molecule,SMILES,Formula,TanimotoA,TanimotoS,MW,HeavyAtoms,AromaticHA,FractionCsp3,RotatableBonds,HBA,HBD,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,SilicosITLogP,ConsensusLogP,ESOLLogS,ESOLSolubilitymgml,ESOLSolubilitymoll,AliLogS,AliSolubilitymgml,AliSolubilitymoll,SilicosITLogSw,SilicosITSolubilitymgml,SilicosITSolubilitymoll,logKpcms,LipinskiViolations,GhoseViolations,VeberViolations,EganViolations,MueggeViolations,BioavailabilityScore,PAINSalerts,BrenkAlerts,LeadlikenessViolations,SyntheticAccessibility,TanimotoA3D,TanimotoS3D,
5429,C=CC(=O)NCc1cccnc1N(S(=O)(=O)C)C,C11H15N3O3S,0.334556575,0.321106095,269.32,18,6,0.27,6,4,1,69.32,87.75,1.29,0.04,1.21,-0.76,0.1,0.38,-1.39,1.11E+01,4.11E-02,-1.44,9.88E+00,3.67E-02,-2.91,3.29E-01,1.22E-03,-7.91,0,0,0,0,0,0.55,0,1,0,2.44,0.804377455,0.758744003,
5430,C=CC(=O)NC1CCN(CC1)S(=O)(=O)C,C9H16N2O3S,0.155963303,0.143961927,232.3,15,0,0.67,4,4,1,61.57,74.86,1.67,-0.03,0.41,-0.56,-0.32,0.23,-1,2.34E+01,1.01E-01,-1.09,1.88E+01,8.09E-02,-1.14,1.68E+01,7.23E-02,-7.74,0,0,0,0,0,0.55,0,1,1,2.33,0.831586704,0.72487071,
5431,Cc1cc(no1)CNC(=O)C=C,C8H10N2O2,0.151773982,0.137418203,166.18,12,5,0.25,4,3,1,43.38,55.13,1.87,0.51,0.63,-0.1,1.4,0.86,-1.24,9.65E+00,5.81E-02,-1.24,9.60E+00,5.78E-02,-2.47,5.64E-01,3.40E-03,-6.95,0,0,0,0,1,0.55,0,1,1,2.4,0.880262163,0.803691434,
5432,C=CC(=O)NCCNC(=O)c1ccncc1,C11H13N3O2,0.144281915,0.129807692,219.24,16,6,0.18,7,3,2,58.99,71.09,1.32,0.03,0.11,-0.28,1.06,0.45,-1.03,2.03E+01,9.25E-02,-1.08,1.84E+01,8.41E-02,-3.29,1.13E-01,5.14E-04,-7.62,0,0,0,0,0,0.55,0,1,1,1.68,0.819535879,0.743658334,
5433,C=CC(=O)NCCNS(=O)(=O)c1cccc(c1)Cl,C11H13ClN2O3S,0.195372751,0.195381883,288.75,18,6,0.18,7,4,2,69.1,83.65,1.63,1.42,2,0.99,1.23,1.45,-2.31,1.42E+00,4.90E-03,-2.78,4.78E-01,1.65E-03,-4.24,1.66E-02,5.74E-05,-7.05,0,0,0,0,0,0.55,0,1,0,2.55,0.825431539,0.822889398,
5434,C=CC(=O)NCCN1CCCS1(=O)=O,C8H14N2O3S,0.162775616,0.15983363,218.27,14,0,0.62,5,4,1,56.76,74.86,1.47,-0.45,0.02,-0.88,-0.07,0.02,-0.58,5.74E+01,2.63E-01,-0.66,4.82E+01,2.21E-01,-1.24,1.27E+01,5.82E-02,-7.95,0,0,0,0,0,0.55,0,1,1,2.58,0.803562254,0.750469395,
5435,C=CC(=O)Nc1ccc(nc1)S(=O)(=O)N1CCOCC1,C12H15N3O4S,0.30969697,0.330275229,297.33,20,6,0.33,5,6,1,76.18,96.98,1.63,-0.27,0.74,-1.01,0.13,0.24,-1.41,1.17E+01,3.93E-02,-1.31,1.46E+01,4.92E-02,-2.57,7.95E-01,2.67E-03,-8.31,0,0,0,0,0,0.55,0,1,0,2.85,0.783486239,0.751669806,
5436,C=CC(=O)Nc1ccc(cc1Cl)CNC(=O)C,C12H13ClN2O2,0.232073012,0.210992908,252.7,17,6,0.17,6,2,2,67.68,58.2,2.24,1.43,1.76,1.77,2.39,1.92,-2.17,1.70E+00,6.72E-03,-2.26,1.40E+00,5.53E-03,-4.26,1.40E-02,5.53E-05,-6.83,0,0,0,0,0,0.55,0,1,0,1.78,0.799036813,0.760558403,
5437,C=CC(=O)Nc1ccc(cc1)n1ccccc1=O,C14H12N2O2,0.212588311,0.230168269,240.26,18,12,0,4,2,1,70.68,51.1,2.16,1.71,1.77,1.81,1.99,1.89,-2.64,5.55E-01,2.31E-03,-2.4,9.59E-01,3.99E-03,-4.08,2.01E-02,8.38E-05,-6.55,0,0,0,0,0,0.55,0,1,1,1.92,0.820638623,0.798297653,
5438,C=CC(=O)Nc1ccc2c(c1)nc(o2)c1cccnc1,C15H11N3O2,0.338305489,0.353239437,265.27,20,15,0,4,4,1,75.89,68.02,2.16,2.12,2.82,1.29,2.79,2.24,-3.11,2.05E-01,7.74E-04,-3.18,1.75E-01,6.61E-04,-5.51,8.25E-04,3.11E-06,-6.41,0,0,0,0,0,0.55,0,1,0,2.8,0.809716921,0.762053146,
5439,C=CC(=O)Nc1ccc(c(c1)C)N1CCOCC1=O,C14H16N2O3,0.26056338,0.243717124,260.29,19,6,0.29,4,3,1,75.98,58.64,2.11,1.07,0.91,0.81,2.01,1.38,-2.1,2.08E+00,7.99E-03,-1.89,3.33E+00,1.28E-02,-3.31,1.28E-01,4.91E-04,-7.13,0,0,0,0,0,0.55,0,1,0,2.1,0.800305,0.733676366,
5440,CCOC(=O)c1ccc(cc1)NC(=O)C=C,C12H13NO3,0.164598302,0.164967007,219.24,16,6,0.17,6,3,1,61.17,55.4,2.41,1.72,1.8,1.9,2.04,1.97,-2.16,1.50E+00,6.85E-03,-2.5,6.94E-01,3.17E-03,-3.33,1.02E-01,4.66E-04,-6.42,0,0,0,0,0,0.55,0,1,1,1.64,0.812851938,0.745399338,
5441,C=CC(=O)Nc1ccc(cc1)n1cnnn1,C10H9N5O,0.202457956,0.202622169,215.21,16,11,0,4,4,1,57.8,72.7,1.6,0.86,0.6,1.2,0.32,0.91,-1.96,2.36E+00,1.09E-02,-1.97,2.30E+00,1.07E-02,-2.64,4.98E-01,2.31E-03,-7,0,0,0,0,0,0.55,0,1,1,1.86,0.833539962,0.795334231,
5442,COC(=O)Cc1ccc(cc1)NC(=O)C=C,C12H13NO3,0.161716172,0.149790294,219.24,16,6,0.17,6,3,1,60.95,55.4,2.09,1.48,1.34,1.63,2.04,1.72,-2.01,2.13E+00,9.70E-03,-2.25,1.23E+00,5.62E-03,-3.33,1.02E-01,4.66E-04,-6.59,0,0,0,0,0,0.55,0,1,1,1.64,0.792783679,0.719665665,
5443,COc1cc(ccc1OC)CNS(=O)(=O)C=C,C11H15NO4S,0.175753688,0.173836181,257.31,17,6,0.27,6,5,1,65.3,73.01,1.92,0.89,2.2,0.38,1.13,1.3,-1.86,3.54E+00,1.38E-02,-2.01,2.53E+00,9.82E-03,-3.48,8.42E-02,3.27E-04,-7.24,0,0,0,0,0,0.55,0,0,0,2.28,0.804103566,0.738887889,
5444,C=CS(=O)(=O)NCC(=O)N1CCOCC1,C8H14N2O4S,0.140431091,0.137992832,234.27,15,0,0.62,5,5,1,57.84,84.09,0.93,-1.03,-0.39,-1.69,-0.59,-0.55,-0.31,1.14E+02,4.86E-01,-0.25,1.32E+02,5.65E-01,-0.85,3.31E+01,1.41E-01,-8.46,0,0,0,0,0,0.55,0,0,1,2.68,0.848290425,0.730978771,
